inventory_item_sku,public_url,alt_text,sort_order,is_primary
8D2549,https://8degree.co/property/8d2549/,8D2549 - Villa Roel Berawa,0,true
8D2577,https://8degree.co/property/8d25135/,8D2577 - Villa Sand Seseh,0,true
8D2581,https://maps.app.goo.gl/zfF1jaSaYV8fEy838?g_st=iwb,8D2581 - Dzen Villa (Ubud),0,true
8DV35D,https://8degree.co/property/8dv35d/,8DV35D,0,true
8DV54,https://8degree.co/property/8dv54/,8DV54,0,true
8DV56,https://8degree.co/property/8dv56/,8DV56,0,true
8DV57,https://8degree.co/property/8dv57/,8DV57,0,true
